[0-0][est]:0.706170934441, [payload]:0, [RSSI]:0 
[0-83][est]:0.706170934441, [payload]:0, [RSSI]:0 
[1-0][est]:0.982968329986, [payload]:0, [RSSI]:1 
[1-1][est]:0.982968329986, [payload]:0, [RSSI]:1 
[1-2][est]:0.886504088181, [payload]:0, [RSSI]:1 
[1-3][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-4][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-5][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-6][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-7][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-8][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-9][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-10][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-11][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-12][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-13][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-14][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-15][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-16][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-17][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-18][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-19][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-20][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-21][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-22][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-23][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-24][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-25][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-26][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-27][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-28][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-29][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-30][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-31][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-32][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-33][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-34][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-35][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-36][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-37][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-38][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-39][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-40][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-41][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-42][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-43][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-44][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-45][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-46][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-47][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-48][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-49][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-50][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-51][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-52][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-53][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-54][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-55][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-56][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-57][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-58][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-59][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-60][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-61][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-62][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-63][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-64][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-65][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-66][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-67][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-68][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-69][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-70][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-71][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-72][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-73][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-74][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-75][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-76][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-77][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-78][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-79][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-80][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-81][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-82][est]:0.513879443611, [payload]:0, [RSSI]:0 
[1-83][est]:0.513879443611, [payload]:0, [RSSI]:0 
[2-0][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-1][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-2][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-3][est]:0.811868643347, [payload]:b0, [RSSI]:1 
[2-4][est]:0.368707084942, [payload]:b, [RSSI]:0 
[2-5][est]:0.368707084942, [payload]:d2, [RSSI]:0 
[2-6][est]:0.368707084942, [payload]:0, [RSSI]:0 
[2-7][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-8][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-9][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-10][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-11][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-12][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-13][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-14][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-15][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-16][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-17][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-18][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-19][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-20][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-21][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-22][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-23][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-24][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-25][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-26][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-27][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-28][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-29][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-30][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-31][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-32][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-33][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-34][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-35][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-36][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-37][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-38][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-39][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-40][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-41][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-42][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-43][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-44][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-45][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-46][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-47][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-48][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-49][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-50][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-51][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-52][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-53][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-54][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-55][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-56][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-57][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-58][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-59][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-60][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-61][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-62][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-63][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-64][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-65][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-66][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-67][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-68][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-69][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-70][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-71][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-72][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-73][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-74][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-75][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-76][est]:0.969591615094, [payload]:0, [RSSI]:1 
[2-77][est]:0.999922258146, [payload]:0, [RSSI]:2 
[2-78][est]:0.999989477715, [payload]:d9, [RSSI]:3 
[2-79][est]:0.99999980726, [payload]:3, [RSSI]:3 
[2-80][est]:0.99999999647, [payload]:a, [RSSI]:5 
[2-81][est]:0.999999973915, [payload]:0, [RSSI]:5 
[2-82][est]:0.999999807261, [payload]:0, [RSSI]:4 
[2-83][est]:0.99998947779, [payload]:0, [RSSI]:4 
[3-0][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-1][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-2][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-3][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-4][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-5][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-6][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-7][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-8][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-9][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-10][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-11][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-12][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-13][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-14][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-15][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-16][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-17][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-18][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-19][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-20][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-21][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-22][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-23][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-24][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-25][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-26][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-27][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-28][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-29][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-30][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-31][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-32][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-33][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-34][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-35][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-36][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-37][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-38][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-39][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-40][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-41][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-42][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-43][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-44][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-45][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-46][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-47][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-48][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-49][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-50][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-51][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-52][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-53][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-54][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-55][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-56][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-57][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-58][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-59][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-60][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-61][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-62][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-63][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-64][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-65][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-66][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-67][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-68][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-69][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-70][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-71][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-72][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-73][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-74][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-75][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-76][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-77][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-78][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-79][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-80][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-81][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-82][est]:0.276023241531, [payload]:0, [RSSI]:0 
[3-83][est]:0.276023241531, [payload]:0, [RSSI]:0 
[4-0][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-1][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-2][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-3][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-4][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-5][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-6][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-7][est]:0.937172943069, [payload]:ef, [RSSI]:1 
[4-8][est]:0.937172943069, [payload]:1, [RSSI]:1 
[4-9][est]:0.937172943069, [payload]:c, [RSSI]:1 
[4-10][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-11][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-12][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-13][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-14][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-15][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-16][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-17][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-18][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-19][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-20][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-21][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-22][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-23][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-24][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-25][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-26][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-27][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-28][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-29][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-30][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-31][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-32][est]:0.668749581867, [payload]:0, [RSSI]:1 
[4-33][est]:0.214599702626, [payload]:0, [RSSI]:0 
[4-34][est]:0.214599702626, [payload]:0, [RSSI]:0 
[4-35][est]:0.668748002329, [payload]:0, [RSSI]:0 
[4-36][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-37][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-38][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-39][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-40][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-41][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-42][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-43][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-44][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-45][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-46][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-47][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-48][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-49][est]:0.668749581867, [payload]:0, [RSSI]:1 
[4-50][est]:0.668748002329, [payload]:0, [RSSI]:0 
[4-51][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-52][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-53][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-54][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-55][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-56][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-57][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-58][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-59][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-60][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-61][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-62][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-63][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-64][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-65][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-66][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-67][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-68][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-69][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-70][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-71][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-72][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-73][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-74][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-75][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-76][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-77][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-78][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-79][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-80][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-81][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-82][est]:0.937172943069, [payload]:0, [RSSI]:1 
[4-83][est]:0.937172943069, [payload]:0, [RSSI]:1 
[5-0][est]:0.937249727627, [payload]:0, [RSSI]:1 
[5-1][est]:0.669036583949, [payload]:0, [RSSI]:1 
[5-2][est]:0.214815750956, [payload]:0, [RSSI]:0 
[5-3][est]:0.214815750956, [payload]:0, [RSSI]:0 
[5-4][est]:0.214815750956, [payload]:0, [RSSI]:0 
[5-5][est]:0.214815750956, [payload]:0, [RSSI]:0 
[5-6][est]:0.214815750956, [payload]:0, [RSSI]:0 
[5-7][est]:0.999977537106, [payload]:0, [RSSI]:2 
[5-8][est]:0.999999588543, [payload]:0, [RSSI]:4 
[5-9][est]:0.999999588543, [payload]:0, [RSSI]:4 
[5-10][est]:0.999996959862, [payload]:0, [RSSI]:4 
[5-11][est]:0.998775165637, [payload]:de, [RSSI]:3 
[5-12][est]:0.937249727627, [payload]:0, [RSSI]:1 
[5-13][est]:0.669036583949, [payload]:d, [RSSI]:1 
[5-14][est]:0.937248982677, [payload]:0, [RSSI]:0 
[5-15][est]:0.998775150142, [payload]:0, [RSSI]:2 
